,source,type,year,id,score,sent_a,sent_b
134,main-captions,MSRvid,2012test,0199,4.000,The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.
135,main-captions,MSRvid,2012test,0200,4.800,A kangroo is eating something.,A kangaroo is eating.
136,main-captions,MSRvid,2012test,0201,0.600,A cat is playing a piano.,A man is playing a guitar.
137,main-captions,MSRvid,2012test,0202,4.750,The man cut some carpet with a knife.,A man is cutting carpet with a knife.
138,main-captions,MSRvid,2012test,0203,2.200,A woman is riding a motorized scooter down a road.,A man is riding a motor scooter.
139,main-captions,MSRvid,2012test,0204,3.000,someone is slicing a vegetable.,Someone is slicing a tomato.
140,main-captions,MSRvid,2012test,0205,0.000,A woman is dancing.,A man is talking.
141,main-captions,MSRvid,2012test,0207,2.200,A dog licks up a baby's drool.,A dog licks a baby.
142,main-captions,MSRvid,2012test,0208,0.400,A man is rowing a boat.,A man is slicing a tomato.
143,main-captions,MSRvid,2012test,0210,4.800,A man cuts up potatos.,A man slices potatoes.
144,main-captions,MSRvid,2012test,0212,4.800,A woman is chopping up garlic.,The woman is dicing garlic.
145,main-captions,MSRvid,2012test,0214,3.800,An animal run in circles.,A squirrel runs in circles.
146,main-captions,MSRvid,2012test,0215,3.000,A man is walking slowly across a rope bridge.,A boy is walking across a bridge.
147,main-captions,MSRvid,2012test,0216,4.000,A man is playing the guitar.,A man seated in a room is playing the guitar.
148,main-captions,MSRvid,2012test,0217,5.000,A man plays the flute.,A man is playing a flute.
149,main-captions,MSRvid,2012test,0221,3.800,A woman cracks two eggs into a glass bowl.,A woman is cracking an egg into a bowl.
150,main-captions,MSRvid,2012test,0223,3.000,A man is cutting a fish.,A man guts a fish.
151,main-captions,MSRvid,2012test,0224,4.400,Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.
152,main-captions,MSRvid,2012test,0226,3.800,A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.
153,main-captions,MSRvid,2012test,0227,3.000,A man is slicing something.,A man is slicing a bun.
154,main-captions,MSRvid,2012test,0230,0.667,A man is paddling a canoe.,A man is playing a harp.
155,main-captions,MSRvid,2012test,0231,4.000,A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.
156,main-captions,MSRvid,2012test,0233,3.750,The woman picked up the kangaroo.,A woman picks up a baby kangaroo.
157,main-captions,MSRvid,2012test,0234,4.133,Fish are swimming.,A fish is swimming.
158,main-captions,MSRvid,2012test,0235,4.000,Two women mix something in a food processor.,Two women make something in a blender.
159,main-captions,MSRvid,2012test,0237,3.600,A person is surfing a large wave.,A person is surfing.
160,main-captions,MSRvid,2012test,0238,1.200,A man is playing a guitar.,A man is stabbing a target.
161,main-captions,MSRvid,2012test,0239,1.600,A man is playing a flute in a band.,A man is playing a guitar.
162,main-captions,MSRvid,2012test,0240,4.000,The man spread butter on the loaf of bread.,A man is spreading butter onto bread.
163,main-captions,MSRvid,2012test,0241,4.000,A person is boiling noodles.,A woman is boiling noodles in water.
164,main-captions,MSRvid,2012test,0243,3.200,A group of people dance on a hill.,A group of people are dancing.
165,main-captions,MSRvid,2012test,0245,1.000,A man is dancing outside.,A man is playing flute.
166,main-captions,MSRvid,2012test,0246,1.000,A woman is feeding a man.,A woman is mixing meat.
167,main-captions,MSRvid,2012test,0247,0.600,A man is putting a pan into an oven.,A woman is cutting an onion.
168,main-captions,MSRvid,2012test,0249,0.400,A woman is sitting at a desk.,A woman is riding a donkey.
169,main-captions,MSRvid,2012test,0250,3.400,Medics transport a patient on a stretcher.,A doctor rushes a patient on a stretcher.
170,main-captions,MSRvid,2012test,0252,3.600,A woman is playing a flute on stage.,The woman is playing the flute.
171,main-captions,MSRvid,2012test,0254,3.000,Two baby pandas are playing.,Two pandas are laying together.
172,main-captions,MSRvid,2012test,0256,4.000,A baby is laughing.,A baby is laughing and giggling.
173,main-captions,MSRvid,2012test,0257,1.200,A man is playing a guitar.,A boy is playing a piano.
174,main-captions,MSRvid,2012test,0259,0.600,A man is folding paper.,A woman is slicing a pepper.
175,main-captions,MSRvid,2012test,0260,1.600,Three women are dancing.,The man is dancing.
176,main-captions,MSRvid,2012test,0262,2.600,The cats are playing with each other.,Two cats are fighting each other.
177,main-captions,MSRvid,2012test,0263,3.600,A person is writing.,A person is writing with a pencil.
178,main-captions,MSRvid,2012test,0267,3.500,A man is running.,A man is running down a road.
179,main-captions,MSRvid,2012test,0268,3.765,The woman is rolling dough.,A woman is flouring and rolling dough.
180,main-captions,MSRvid,2012test,0269,2.750,A woman is adding spices on a meat.,Woman is adding sugar to meat.
181,main-captions,MSRvid,2012test,0270,2.250,A woman is adding oil on fishes.,A woman is pouring water on fish.
182,main-captions,MSRvid,2012test,0271,2.750,A young boy is holding a guitar.,A little boy is playing a guitar.
183,main-captions,MSRvid,2012test,0272,3.800,A cheetah is running.,A cheetah is running across a field.
184,main-captions,MSRvid,2012test,0273,4.800,The man is eating pizza.,A man is eating a slice of pizza.
185,main-captions,MSRvid,2012test,0274,3.600,An orangutan is riding a bus.,A monkey is riding on a bus.
186,main-captions,MSRvid,2012test,0275,1.200,A man and a woman talk in a diner.,A man and a woman are riding on a bicycle.
187,main-captions,MSRvid,2012test,0277,0.400,A man is playing a guitar.,A man is cleaning a glass door.
188,main-captions,MSRvid,2012test,0278,2.400,A girl is singing and playing a guitar.,A young man is singing while playing the guitar.
189,main-captions,MSRvid,2012test,0282,3.941,A girl is communicating with sign language.,A young girl is using sign language.
190,main-captions,MSRvid,2012test,0283,0.500,A woman is doing weight exercises.,A woman is doing her hair.
191,main-captions,MSRvid,2012test,0284,3.750,A man is getting inside a car.,An elderly man is getting into a red car.
192,main-captions,MSRvid,2012test,0285,4.000,A big green ball knocks a potato over.,A large green ball hits a potato.
193,main-captions,MSRvid,2012test,0287,3.000,A cat is playing keyboards.,A cat is playing a piano.
194,main-captions,MSRvid,2012test,0288,4.200,Two dogs swim in a pool.,Dogs are swimming in a pool.
195,main-captions,MSRvid,2012test,0290,2.000,The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.
196,main-captions,MSRvid,2012test,0291,5.000,A woman slices tofu.,A woman is cutting tofu.
197,main-captions,MSRvid,2012test,0292,3.000,A herd of deer are crossing the street.,A herd of caribou are crossing a road.
198,main-captions,MSRvid,2012test,0293,3.800,The person is riding the horse.,A man is riding a horse.
199,main-captions,MSRvid,2012test,0294,0.000,Someone is feeding a animal.,Someone is playing a piano.
200,main-captions,MSRvid,2012test,0295,0.000,Someone is slicing tortila's.,Someone is riding a horse.
201,main-captions,MSRvid,2012test,0296,0.250,Someone is mixing ingrediants.,Someone is sewing things.
202,main-captions,MSRvid,2012test,0297,4.000,A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.
203,main-captions,MSRvid,2012test,0298,3.250,A woman holds a kangaroo.,A woman is picking up a kangaroo.
204,main-captions,MSRvid,2012test,0299,0.750,A man is playing with frogs,A cat is playing with a camera.
205,main-captions,MSRvid,2012test,0300,1.500,Two men are talking.,Two men are playing guitar.
206,main-captions,MSRvid,2012test,0303,3.500,A man spreads butter on a big piece of bread.,A man is smearing butter on a slice of garlic bread.
207,main-captions,MSRvid,2012test,0304,3.000,A man is running across a high wire.,A man is running on rope.
208,main-captions,MSRvid,2012test,0307,0.200,A man is mowing a lawn.,A woman is cutting a lemon.
209,main-captions,MSRvid,2012test,0309,0.800,A man is opening a door.,A man is playing a guitar.
210,main-captions,MSRvid,2012test,0311,4.200,A man is slicing a potato into pieces.,A man is cutting a potato.
211,main-captions,MSRvid,2012test,0312,3.800,The woman is cutting cooked octopus.,A woman is chopping octopus.
212,main-captions,MSRvid,2012test,0314,0.400,A man is punching through boards.,A dog is running through water.
213,main-captions,MSRvid,2012test,0316,0.800,A man is dancing.,A man is eating bread.
214,main-captions,MSRvid,2012test,0317,1.200,Someone is playing a piano.,A man is playing a guitar.
215,main-captions,MSRvid,2012test,0318,2.800,Two foxes are eating from a plate on a brick patio.,Foxes are eating from a plate.
216,main-captions,MSRvid,2012test,0319,3.200,A boy is playing a key-board.,A boy is playing the piano.
217,main-captions,MSRvid,2012test,0320,5.000,A person plays a keyboard.,Someone is playing a keyboard.
218,main-captions,MSRvid,2012test,0322,0.000,A man is shooting a gun.,A man is spitting.
219,main-captions,MSRvid,2012test,0323,1.000,Someone is slicing an onion.,Someoen is peeling a potato.
220,main-captions,MSRvid,2012test,0325,0.000,A man is swimming.,A woman is slicing meat.
221,main-captions,MSRvid,2012test,0327,3.750,A man is playing the guitar.,A man plays an acoustic guitar.
222,main-captions,MSRvid,2012test,0328,0.400,A woman is slicing a pumpkin.,A woman is riding an elephant.
223,main-captions,MSRvid,2012test,0329,0.400,A woman is dancing.,A woman is kneading dough.
224,main-captions,MSRvid,2012test,0331,0.600,A woman is cracking eggs into a bowl.,A woman is placing skewers onto a rack.
225,main-captions,MSRvid,2012test,0332,4.000,A car is moving through a road.,A car is driving down the road.
226,main-captions,MSRvid,2012test,0334,0.400,Someone is greasing a pan.,Smeone is laying down.
227,main-captions,MSRvid,2012test,0335,0.400,A man is playing guitar.,A man is draining pasta.
228,main-captions,MSRvid,2012test,0336,0.400,A woman is drinking vodka.,A woman is exercising.
229,main-captions,MSRvid,2012test,0339,4.800,A woman is cutting meat into pieces.,A woman is cutting up some meat.
230,main-captions,MSRvid,2012test,0342,0.600,A man is rinsing a steak.,A man is playing a guitar.
231,main-captions,MSRvid,2012test,0344,0.800,A man is selling items.,A man is cleaning the house.
232,main-captions,MSRvid,2012test,0347,3.200,A man is jumping a wall.,A man jumps onto a short wall.
233,main-captions,MSRvid,2012test,0348,3.200,Runners race around a track.,Runners compete in a race.
234,main-captions,MSRvid,2012test,0349,0.600,A man is kicking a soccer ball.,A man is mixing a bowl.
235,main-captions,MSRvid,2012test,0350,0.600,A woman is frying something.,A woman is riding a horse.
236,main-captions,MSRvid,2012test,0351,0.000,A cat is licking a sucker.,A woman is slicing cucumber.
237,main-captions,MSRvid,2012test,0352,1.400,A woman is dancing by a fire.,A woman is taking a bath.
238,main-captions,MSRvid,2012test,0355,2.200,The man is slicing a fish open.,A man is slicing a potato.
239,main-captions,MSRvid,2012test,0357,3.600,Butter is melting in a pan.,A man is melting butter in a pan.
240,main-captions,MSRvid,2012test,0359,3.111,Three boys are dancing.,Kids are dancing.
241,main-captions,MSRvid,2012test,0360,0.600,A woman is playing a game with a man.,A man is playing piano.
242,main-captions,MSRvid,2012test,0361,0.400,The man is driving a white car.,A man is giving an interview.
243,main-captions,MSRvid,2012test,0365,4.250,A man drove his car.,A man is driving a car.
244,main-captions,MSRvid,2012test,0366,3.000,A car backs out of a space.,A car is backing out of a blocked lane.
245,main-captions,MSRvid,2012test,0368,5.000,A man puts some cheese on a pizza.,The man sprinkled cheese on the pizza.
246,main-captions,MSRvid,2012test,0369,5.000,The boy is playing the piano.,A boy plays a piano.
247,main-captions,MSRvid,2012test,0371,3.750,The man played his guitar.,A man is playing a guitar.
248,main-captions,MSRvid,2012test,0373,0.200,A man is riding a horse.,A man is playing a keyboard.
249,main-captions,MSRvid,2012test,0374,0.400,A man is walking on a rope.,A man is riding a mo-pad.
250,main-captions,MSRvid,2012test,0376,1.286,A girl is playing a flute.,A band is playing on a stage.
251,main-captions,MSRvid,2012test,0377,4.600,People step off a train.,A group of people get off a train.
252,main-captions,MSRvid,2012test,0378,0.600,A woman is sewing on a machine.,A woman is breading some meat.
253,main-captions,MSRvid,2012test,0379,2.000,A dog is looking into swimming pool.,A dog is walking around a pool.
254,main-captions,MSRvid,2012test,0380,5.000,A man is buttering a piece of bread.,A man is applying butter to bread.
255,main-captions,MSRvid,2012test,0382,1.800,A man is cutting tomatoes into pieces.,A woman is cutting some vegetables.
256,main-captions,MSRvid,2012test,0384,2.400,Three teenage girls danced in the room.,Some teenage girls are dancing for the camera.
257,main-captions,MSRvid,2012test,0385,2.400,A lion is walking.,A lion is pacing in a pen.
258,main-captions,MSRvid,2012test,0386,0.400,A man shooting a car.,A man is cutting a potato.
259,main-captions,MSRvid,2012test,0388,4.200,A black horse is running around.,The horse is running.
260,main-captions,MSRvid,2012test,0390,0.000,A woman is deveining shrimp.,A man is dancing in rain.
261,main-captions,MSRvid,2012test,0391,0.000,A man is riding a horse.,A woman is washing a freezer.
262,main-captions,MSRvid,2012test,0393,0.800,A man walks down a path.,A man walks across a tight rope.
263,main-captions,MSRvid,2012test,0394,1.400,A man is slicing a potato.,A woman is cutting a jalepeno.
264,main-captions,MSRvid,2012test,0395,1.500,A dog is barking at a ball.,A dog swims after a tennis ball.
265,main-captions,MSRvid,2012test,0397,2.500,A kid runs away from a fish swinging around on a fishing pole.,A little kid is running around a fishing pole.
266,main-captions,MSRvid,2012test,0398,2.500,A man is walking along a path through wilderness.,A man is walking down a road.
267,main-captions,MSRvid,2012test,0399,3.500,An elderly man is speaking at a podium.,A man is making a speech at the podium.
268,main-captions,MSRvid,2012test,0401,3.400,A man riding a horse in slow motion.,A man is riding on a horse.
269,main-captions,MSRvid,2012test,0402,3.800,A person is cutting some burrata cheese.,The person is slicing cheese.
270,main-captions,MSRvid,2012test,0403,3.800,The man is shooting an automatic rifle.,A man is shooting a gun.
271,main-captions,MSRvid,2012test,0406,1.500,A man is crushing garlic with the back of a knife.,A woman is slicing meat with a knife.
272,main-captions,MSRvid,2012test,0407,0.500,A woman is filing her fingernails with an emery board.,A woman is feeding her baby with a bottle.
273,main-captions,MSRvid,2012test,0408,0.000,A man is riding a skateboard.,A woman is cutting a potato.
274,main-captions,MSRvid,2012test,0409,0.000,A woman is taking a shower.,A man is riding a white horse.
275,main-captions,MSRvid,2012test,0410,0.800,A  man is dancing.,A man is riding a horse.
276,main-captions,MSRvid,2012test,0413,0.850,A man is rowing a boat.,A man is shooting off a gun.
277,main-captions,MSRvid,2012test,0414,3.400,A man is swinging from a rope attached to the ceiling.,A man is swinging on a rope.
278,main-captions,MSRvid,2012test,0415,0.400,A woman is riding a horse on a beach.,A man is carrying another man on his back.
279,main-captions,MSRvid,2012test,0416,1.750,A man holds a small animal in one hand.,A man shows off a small monkey.
280,main-captions,MSRvid,2012test,0417,3.250,A person is folding a square paper piece.,A man is folding paper.
281,main-captions,MSRvid,2012test,0418,0.750,A person is frying meat in a pan.,A person is holding a skunk.
282,main-captions,MSRvid,2012test,0422,0.000,A chimpanzee is hurting a woman.,A man is driving a car.
283,main-captions,MSRvid,2012test,0423,0.000,The woman is peeling shrimp.,The man is holding a lemur.
284,main-captions,MSRvid,2012test,0427,4.250,Two zebras are playing.,Zebras are socializing.
285,main-captions,MSRvid,2012test,0428,1.800,A woman is slicing butter.,A woman slices tofu.
286,main-captions,MSRvid,2012test,0429,3.200,Some men are playing guitars.,Three men are playing guitars and singing together.
287,main-captions,MSRvid,2012test,0430,3.600,The elephants sprayed water on themselves.,Elephants spray themselves with water.
288,main-captions,MSRvid,2012test,0432,2.600,A dog sat at the counter of a store.,The dog is standing at the counter.
